Label,Outer left eyebrow-x,Outer left eyebrow-y,Middle left eyebrow-x,Middle left eyebrow-y,Inner left eyebrow-x,Inner left eyebrow-y,Inner right eyebrow-x,Inner right eyebrow-y,Middle right eyebrow-x,Middle right eyebrow-y,Outer right eyebrow-x,Outer right eyebrow-y,Left temple-x,Left temple-y,Outer left eye corner-x,Outer left eye corner-y,Inner left eye corner-x,Inner left eye corner-y,Inner right eye corner-x,Inner right eye corner-y,Outer right eye corner-x,Outer right eye corner-y,Right temple-x,Right temple-y,Nose saddle left-x,Nose saddle left-y,Nose saddle right-x,Nose saddle right-y,Left nose peak-x,Left nose peak-y,Nose tip-x,Nose tip-y,Right nose peak-x,Right nose peak-y,Left mouth corner-x,Left mouth corner-y,Upper lip outer middle-x,Upper lip outer middle-y,Right mouth corner-x,Right mouth corner-y,Upper lip inner middle-x,Upper lip inner middle-y,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip outer middle-x,Lower lip outer middle-y,Chin middle-x,Chin middle-y,Left ear lobe-x,Left ear lobe-y,Right ear lobe-x,Right ear lobe-y
HAPPY,79.4496,557.174,176.086,436.378,433.784,444.431,675.375,452.484,908.914,444.431,993.471,533.015,-1,-1,180.113,597.439,417.678,617.572,691.481,621.598,929.046,605.492,-1,-1,502.235,589.386,610.951,589.386,389.492,895.402,549.571,884.607,700.429,905.821,308.962,1100.75,558.606,1072.57,796.171,1072.57,550.553,1104.78,546.527,1161.15,554.58,1225.58,570.686,1499.38,-1,-1,-1,-1
ANGER,90.6538,530.365,209.062,467.214,465.614,518.524,678.749,502.736,883.991,463.267,1010.29,498.789,-1,-1,181.434,597.463,426.145,581.675,702.431,581.675,939.248,561.94,-1,-1,534.637,585.227,611.651,577.728,437.985,893.484,590.09,878.668,737.966,904.084,402.463,1126.35,599.81,1086.88,816.893,1110.57,599.81,1110.57,603.953,1118.97,595.863,1130.3,590.09,1467.86,-1,-1,-1,-1
SURPRISE,86.5398,546.773,117.065,398.508,378.71,415.951,710.126,398.508,915.081,376.704,1011.02,494.444,-1,-1,186.837,590.381,404.874,607.824,688.322,599.102,901.999,590.381,-1,-1,500.81,564.216,592.386,577.298,400.513,899.993,537.078,889.149,688.322,930.519,374.349,1192.16,531.336,1113.67,714.487,1187.8,540.057,1148.56,544.418,1261.94,535.696,1331.71,548.779,1567.19,36.7298,978.497,1078.27,947.863
FEAR,104.675,518.635,179.731,439.41,384.049,435.24,680.102,443.58,851.062,410.221,1022.02,518.635,-1,-1,171.391,547.824,409.068,568.672,696.781,572.842,926.118,560.333,-1,-1,500.802,564.503,605.046,556.163,413.237,856.386,549.823,862.391,709.29,864.725,354.861,1114.91,559.179,1044.03,763.497,1085.72,563.349,1077.38,555.009,1223.32,563.349,1335.91,571.688,1552.74,-1,-1,-1,-1
DISGUST,115.442,526.418,241.744,459.32,435.145,514.577,648.28,490.895,845.627,411.956,995.611,486.948,-1,-1,198.328,589.569,407.516,573.781,660.121,554.046,920.619,530.365,-1,-1,494.349,561.94,593.023,550.099,419.357,877.696,559.811,867.115,715.378,857.962,383.834,1134.25,593.023,1051.36,837.733,1094.78,596.969,1098.73,585.227,1116.66,589.076,1150.04,596.969,1438.16,74.5932,913.326,-1,-1
SADNESS,74.866,561.94,185.381,471.16,390.622,479.054,639.28,475.107,848.468,431.691,986.611,494.842,-1,-1,173.54,609.304,406.41,597.463,678.749,577.728,907.672,565.887,-1,-1,489.296,577.728,580.076,569.834,394.569,885.59,555.432,890.22,700.997,897.152,366.94,1138.19,564.288,1067.15,777.423,1098.73,556.394,1102.67,562.363,1125.9,568.235,1150.04,595.863,1453.95,-1,-1,-1,-1
ANGER,120.447,605.285,231.757,502.537,471.503,566.755,775.466,571.036,1019.49,493.975,1100.83,545.349,-1,-1,201.789,626.691,467.221,626.691,775.466,630.972,1032.34,643.816,-1,-1,565.688,643.816,698.405,643.816,475.784,947.779,587.094,922.092,766.903,973.466,411.566,1183.24,599.938,1119.03,796.871,1183.24,599.938,1174.68,600.981,1191.2,599.938,1247.46,599.938,1525.74,-1,-1,-1,-1
HAPPY,76.3621,664.123,182.15,558.336,439.72,604.33,734.086,613.529,1010.05,544.537,1152.64,636.527,-1,-1,182.15,705.519,453.519,700.919,757.084,705.519,1051.45,723.916,-1,-1,563.906,710.118,697.29,700.919,435.121,1022.88,587.575,1021.32,765.283,1040.17,315.534,1211.46,596.102,1197.66,876.67,1216.06,605.301,1234.46,609.901,1331.05,605.301,1427.64,619.099,1689.81,-1,-1,-1,-1
FEAR,107.818,586.02,208.115,450.837,504.646,498.805,779.373,481.362,962.524,442.115,1067.18,564.216,-1,-1,238.641,599.102,495.924,594.741,748.847,620.906,993.049,625.267,-1,-1,565.696,586.02,674.715,577.298,474.121,878.19,600.582,808.418,753.208,895.633,399.988,1131.11,609.304,1004.65,788.094,1135.47,609.304,1065.7,609.304,1131.11,600.582,1227.05,591.861,1545.38,-1,-1,-1,-1
SADNESS,108.996,594.503,232.688,509.198,458.747,539.054,765.845,539.054,1004.7,500.667,1115.6,620.094,-1,-1,219.893,645.686,480.073,649.951,774.375,667.012,1026.03,679.808,-1,-1,569.643,641.42,710.397,645.686,454.481,939.988,606.991,892.14,765.845,935.723,403.298,1200.17,603.765,1119.13,799.967,1195.9,603.765,1161.78,599.5,1179.28,590.969,1259.88,590.969,1566.98,-1,-1,-1,-1
