Label,Outer left eyebrow-x,Outer left eyebrow-y,Outer left eyebrow-z,Middle left eyebrow-x,Middle left eyebrow-y,Middle left eyebrow-z,Inner left eyebrow-x,Inner left eyebrow-y,Inner left eyebrow-z,Inner right eyebrow-x,Inner right eyebrow-y,Inner right eyebrow-z,Middle right eyebrow-x,Middle right eyebrow-y,Middle right eyebrow-z,Outer right eyebrow-x,Outer right eyebrow-y,Outer right eyebrow-z,Left temple-x,Left temple-y,Left temple-z,Outer left eye corner-x,Outer left eye corner-y,Outer left eye corner-z,Inner left eye corner-x,Inner left eye corner-y,Inner left eye corner-z,Inner right eye corner-x,Inner right eye corner-y,Inner right eye corner-z,Outer right eye corner-x,Outer right eye corner-y,Outer right eye corner-z,Right temple-x,Right temple-y,Right temple-z,Nose saddle left-x,Nose saddle left-y,Nose saddle left-z,Nose saddle right-x,Nose saddle right-y,Nose saddle right-z,Left nose peak-x,Left nose peak-y,Left nose peak-z,Nose tip-x,Nose tip-y,Nose tip-z,Right nose peak-x,Right nose peak-y,Right nose peak-z,Left mouth corner-x,Left mouth corner-y,Left mouth corner-z,Upper lip outer middle-x,Upper lip outer middle-y,Upper lip outer middle-z,Right mouth corner-x,Right mouth corner-y,Right mouth corner-z,Upper lip inner middle-x,Upper lip inner middle-y,Upper lip inner middle-z,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip inner middle-z,Lower lip outer middle-x,Lower lip outer middle-y,Lower lip outer middle-z,Chin middle-x,Chin middle-y,Chin middle-z,Left ear lobe-x,Left ear lobe-y,Left ear lobe-z,Right ear lobe-x,Right ear lobe-y,Right ear lobe-z
ANGER,-72.961,-1.725,22.958,-55.678,4.591,38.791,-31.92,-1.929,36.645,-1.467,-1.246,39.396,19.511,4.733,39.521,38.267,0.895,23.847,NaN,NaN,NaN,-62.234,-13.599,23.387,-30.594,-13.468,27.897,-1.368,-12.608,28.601,30.963,-9.038,19.359,NaN,NaN,NaN,-20.506,-20.528,43.981,-6.559,-20.715,40.831,-30.866,-52.014,39.217,-12.796,-44.354,60.519,4.687,-50.481,37.689,-28.704,-81.568,31.654,-11.424,-77.828,44.218,7.849,-78.691,29.98,-10.678,-81.093,39.481,-10.671,-83.368,38.65,-9.891,-86.283,39.421,-9.84,-112.234,31.313,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-76.565,-0.458,6.126,-62.086,9.454,24.055,-35.614,2.066,25.073,-2.802,2.077,26.288,20.396,9.651,27.665,37.262,5.03,14.467,NaN,NaN,NaN,-64.035,-11.016,12.363,-32.93,-10.774,17.738,-3.818,-9.285,19.541,27.51,-6.353,10.701,NaN,NaN,NaN,-23.579,-16.638,31.522,-11.594,-15.766,34.205,-33.864,-43.691,29.652,-15.64,-44.209,50.155,3.578,-44.299,30.263,-41.32,-77.214,6.895,-15.941,-66.863,29.844,14.277,-75.678,7.29,-15.959,-72.378,25.205,-15.18,-77.824,22.247,-15.118,-83.79,24.378,-13.583,-109.568,19.583,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-76.163,6.39,10.784,-57.083,16.865,30.162,-33.708,14.082,32.408,-3.369,11.821,30.104,16.871,20.053,30.964,38.329,14.88,12.649,NaN,NaN,NaN,-62.74,-1.966,19.088,-34.804,-2.482,20.914,-3.405,-0.157,23.356,27.653,3.481,13.966,NaN,NaN,NaN,-22.447,-4.481,37.684,-10.506,-4.543,39.84,-31.252,-38.901,37.011,-13.797,-30.111,59.261,4.53,-38.338,29.101,-34.441,-74.619,25.992,-12.448,-60.169,45.93,9.749,-73.12,25.172,-12.49,-64.809,43.331,-11.692,-78.336,40.568,-12.362,-84.124,42.1,-13.02,-110.107,33.429,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-72.14,8.896,9.353,-54.721,22.38,27.474,-29.789,15.802,28.937,5.772,15.866,27.094,29.251,24.846,25.221,47.932,15.995,3.574,NaN,NaN,NaN,-60.333,-0.197,16.116,-26.245,2.341,21.933,2.812,3.136,22.52,34.827,3.704,11.75,NaN,NaN,NaN,-15.458,-4.31,38.62,-3.618,-4.232,40.134,-27.268,-28.84,37.198,-9.186,-27.649,58.292,10.294,-31.799,39.916,-38.959,-58.975,17.507,-7.999,-51.207,40.242,22.196,-56.737,12.908,-8.643,-55.739,38.892,-7.873,-64.115,35.452,-7.063,-69.995,38.018,-9.03,-97.687,36.058,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-73.743,3.099,12.438,-58.607,15.144,29.381,-32.979,11.594,30.048,0.361,10.827,29.068,21.336,16.089,29.91,40.69,9.303,11.785,NaN,NaN,NaN,-62.831,-6.717,16.33,-30.193,-3.413,23.313,-1.182,-1.904,22.82,29.933,-0.558,13.784,NaN,NaN,NaN,-19.395,-8.503,39.795,-8.229,-7.76,40.079,-29.769,-40.621,38.053,-11.602,-30.378,58.094,6.749,-39.379,28.822,-36.789,-68.895,25.14,-11.017,-62.101,42.409,14.146,-67.281,23.486,-9.528,-65.922,40.335,-9.531,-67.46,39.459,-9.479,-74.06,41.452,-10.731,-100.452,35.956,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-74.917,13.458,3.521,-51.12,26.078,30.749,-29.987,19.518,32.012,4.757,19.572,30.769,27.429,30.786,26.021,47.635,21.332,3.525,NaN,NaN,NaN,-59.085,-0.198,15.616,-25.738,0.09,22.084,4.081,0.881,22.132,35.42,3.688,9.77,NaN,NaN,NaN,-15.682,-7.294,39.539,-3.069,-6.45,41.467,-26.793,-34.247,31.919,-6.435,-29.079,59.908,10.413,-36.636,29.755,-31.545,-69.187,24.14,-5.891,-57.752,44.603,16.395,-66.076,20.917,-5.859,-62.326,41.72,-6.608,-73.188,34.394,-7.929,-81.013,41.038,-7.8,-110.767,31.364,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-44.764,20.703,53.745,-24.138,25.053,65.28,-1.985,22.214,66.972,23.604,20.076,61.497,42.058,25.271,56.966,57.925,20.204,41.138,NaN,NaN,NaN,-33.824,14.744,52.797,-9.412,12.586,51.481,26.026,11.216,46.322,51.444,11.989,37.249,NaN,NaN,NaN,6.713,1.903,68.766,18.517,1.052,64.383,-3.981,-28.276,67.337,14.943,-24.134,82.383,26.209,-30.566,58.933,-18.769,-53.064,52.338,9.809,-50.907,65.471,37.511,-54.948,41.866,9.834,-53.914,63.887,9.855,-56.144,63.184,9.866,-60.504,63.848,8.041,-91.313,54.006,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-47.689,18.482,46.606,-30.715,23.726,56.596,-7.71,19.956,56.229,20.168,20.09,52.686,40.988,26.055,49.724,56.34,20.936,30.446,NaN,NaN,NaN,-38.678,14.03,53.525,-12.139,12.585,44.248,21.191,14.082,41.308,46.313,15.713,42.32,NaN,NaN,NaN,0.397,3.289,59.617,12.283,3.273,59.409,-7.476,-24.796,62.159,10.078,-25.762,74.67,23.406,-22.407,58.478,-18.761,-52.197,41.416,5.678,-45.472,57.199,31.963,-50.912,34.388,6.408,-49.256,55.389,7.135,-59.393,46.988,7.225,-67.089,52.297,7.502,-88.942,45.275,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-45.923,15.566,35.439,-24.772,24.409,49.243,-0.378,23.617,51.507,20.83,23.058,49.691,43.333,25.388,44.054,60.193,18.011,28.418,NaN,NaN,NaN,-36.113,11.155,36.774,-7.77,8.907,41.733,24.191,9.67,37.264,53.421,11.261,28.739,NaN,NaN,NaN,5.548,2.512,56.349,17.345,1.749,55.089,-5.28,-27.91,56.436,12.986,-22.148,74.811,28.672,-28.755,48.585,-15.728,-58.247,40.033,9.344,-48.935,60.217,37.149,-59.727,35.665,10.129,-54.154,58.776,9.437,-67.113,51.488,10.272,-72.099,51.989,8.966,-104.733,42.572,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-53.795,15.184,31.303,-37.064,27.159,42.904,-11.016,24.252,44.959,15.562,24.342,42.519,40.213,29.649,38.551,57.396,22.314,17.238,NaN,NaN,NaN,-41.374,13.827,42.853,-14.09,13.831,34.894,17.849,13.833,31.658,45.663,16.216,30.341,NaN,NaN,NaN,-1.344,3.625,52.876,9.651,4.39,50.474,-14.426,-23.26,49.46,3.987,-20.417,68.041,21.719,-22.375,48.343,-27.322,-45.238,32.443,2.412,-43.085,50.391,35.592,-43.917,25.568,3.147,-46.86,49.801,3.912,-56.75,45.065,4.689,-63.322,47.188,6.511,-90.85,43.048,NaN,NaN,NaN,NaN,NaN,NaN
